username,text,sentiment
WTreker,"Kill La Strive

#GuiltyGearStrive #ggst #KillLaKill #RyukoMatoi https://t.co/M4SLdtPlCE","{'neg': 0.701, 'neu': 0.299, 'pos': 0.0, 'compound': -0.6908}"
nepnaf,@Joydas Before 2017 no Islamist would have dared to kill #KanhaiyaLal,"{'neg': 0.61, 'neu': 0.39, 'pos': 0.0, 'compound': -0.6908}"
jameskjx,"@corigonzalezma1 Sure.   Not getting an abortion can kill you.   Not getting a vaccine can kill you, people you live or work or socialise with.  So itâ€™s important to get both as directed by your doctorâ€¦","{'neg': 0.369, 'neu': 0.471, 'pos': 0.161, 'compound': -0.8074}"
SirP_Vehement,"A renown #NigerianðŸ‡³ðŸ‡¬priest while addressing @GovSamuelOrtom spoke D TRUTH Dat #IPOB didn't kill anybody out of hatred for #BiafraAgitation, @MBuhari led @NigeriaGov Tamed her terrorist whereas his kinsmen #FulaniHerdsmen are ransacking villages in South With impunity
@Amaka_Ekwo https://t.co/hCW94pk4n6","{'neg': 0.471, 'neu': 0.45, 'pos': 0.08, 'compound': -0.9231}"
Bartix64,"When talking about SpongeBob's kill count, we can't forget Sergeant Roderick, the brave shark who gave his life trying to stop SpongeBob's vehicular rampage on Bikini Bottom. https://t.co/EVEtzy8CmL","{'neg': 0.256, 'neu': 0.556, 'pos': 0.188, 'compound': -0.428}"
mukasiri,"@Mutape88 When you build wealth from pillaging your neighbour, and then kill your neighbour for trying hard to come and work for you to get the crumbs - pure evil 

#StoptheBleeding #StoptheLooting to restore the dignity of Africans","{'neg': 0.355, 'neu': 0.372, 'pos': 0.274, 'compound': -0.5267}"
sunny_gsx,"Beheading in Udaipur to avenge ""blasphemy"". Killers even vowed on cam to kill Modi &amp; Nupur. Kanhaiya Lal wouldn't have been killed had Zubairs &amp; 'secular' politicians not dogwhistled emboldening 'islamists' in the wake of Nupur's comments. 

All MUST ensure peace &amp; calm.","{'neg': 0.297, 'neu': 0.521, 'pos': 0.182, 'compound': -0.8074}"
RejekaGerster,@wildethingy honest truth: stupid people rule the world. and the smart ones are the outlaws of society. so stupidity spread out into the world and does its impact and will kill us all eventually.,"{'neg': 0.375, 'neu': 0.341, 'pos': 0.283, 'compound': -0.5719}"
amarbbbbppp,"Kill the KillersðŸ˜¡ðŸ˜¡ðŸ˜¡
#Udaipur https://t.co/F25v6sWCND","{'neg': 1.0, 'neu': 0.0, 'pos': 0.0, 'compound': -0.875}"
Cawlamity,we've tried to kill each other like 4 times. im over it. she's cool in her own way. also she's a maiden so i am literally bound to her for life-- hers or mine.,"{'neg': 0.229, 'neu': 0.537, 'pos': 0.234, 'compound': -0.2263}"
